,0
0,-0.0013856188452336937
1,0.000352268572896719
2,0.0014938734821043909
3,0.0009006417822092772
4,0.0023632064985577017
5,9.101261093746871e-05
6,-0.00247689650132088
7,-0.00553720653988421
8,0.00035131676122546196
9,-0.0012784066202584654
10,0.00020358385518193245
11,-0.01208334555849433
12,0.010040441295132041
13,0.0012567800949909724
14,0.003939797868952155
15,-0.0006967037916183472
16,-0.0017499782843515277
17,-0.0004953954412485473
18,-0.0026380596682429314
19,-0.0038938103498367127
20,-0.000756902911234647
21,-0.0037220194935798645
22,5.553534720093012e-05
23,0.001035927049088059
24,0.0009337905648862943
25,-0.010192507179453969
26,0.0010088672570418566
27,0.005686747143045068
28,-0.0010766015911940485
29,-0.0017381589277647436
30,-0.003170391544699669
31,0.002495574273780221
32,0.0027482755249366164
33,0.002468411905283574
34,-5.729444092139602e-05
35,0.0011037470248993486
36,2.8174836188554764e-05
37,0.0008283712086267769
38,-0.0014774918381590396
39,0.0003303356934338808
40,0.0003008956518897321
41,-0.0013511836805264466
42,0.005785448011010885
43,-0.002330796094611287
44,-0.0032172149512916803
45,0.0013812325923936442
46,0.0006502468604594469
47,-0.0014245761558413506
48,0.0009561655315337703
49,0.00021692150039598346
50,0.001634611573535949
51,-0.0007621552795171738
52,0.006734447902999818
53,-0.0023112522467272356
54,-0.0005210074596107006
55,-0.0004290099604986608
56,-0.0023384219966828823
57,0.0005714897051802836
58,-0.00021840212866663933
59,-0.0036538521617330844
60,-0.0029423513333313167
61,0.002657339908182621
62,0.0012460536527214572
63,-0.0028071695123799145
64,0.0011087515158578753
65,-0.0013614825438708067
66,-0.0013899337936891243
67,-0.004325425950810313
68,0.004038618179038167
69,0.0009194043232128024
70,-0.004215650169498986
71,-0.006561694084666669
72,-0.006034898338839412
73,0.004220969567541033
74,-0.0016830264357849956
75,-0.00600076251430437
76,-0.0023835919855628163
77,0.0008858125838742126
78,0.00029963931592646986
79,0.0029308825032785535
80,0.002921406412497163
81,0.003236546413972974
82,0.0024966791388578713
83,-0.0010416775476187468
84,-0.0010396928119007498
85,-0.002909911097958684
86,-0.0002066952220047824
87,0.006885237293317914
88,0.0006937651196494699
89,0.000682251324178651
90,-0.0002794645552057773
91,0.0003416353356442414
92,0.004423399921506643
93,-0.0007729490243946202
94,0.0018245866522192955
95,-0.003171354182995856
96,-0.003600907395593822
97,0.0016324640018865466
98,0.004587788600474596
99,0.003142386478430126
100,4.501461808104068e-05
101,0.005441251094453037
102,0.002120843972079456
103,-0.006393427262082696
104,0.0052553586137946695
105,0.008571878774091601
106,-0.0009583148639649153
107,0.0004572710022330284
108,-0.004434820730239153
109,0.002518062319722958
110,-0.017790887039154768
111,0.0008557433320675045
112,0.002267856732942164
113,0.00048143192543648183
114,-0.0021176746740820818
115,0.00020246533676981926
116,-0.004564501461572945
117,-0.00019135791808366776
118,0.004571539466269314
119,0.004096651391591877
120,0.0033148343209177256
121,0.004096648481208831
122,-0.0037193954922258854
123,0.004962620179867372
124,-0.0021825353032909334
125,-0.0004254579544067383
126,-0.0024856256204657257
127,-0.004471911262953654
128,-0.00020598845731001347
129,0.0014773049479117617
130,0.0003777301171794534
131,-0.0011621672892943025
132,0.006728565553203225
133,-0.005044621822889894
134,0.0007213224889710546
135,-0.000651071375614265
136,-0.0029046785784885287
137,0.0005310736014507711
138,-0.0018682853260543197
139,0.000860089719935786
140,-0.0033812300534918904
141,0.004083056119270623
142,-0.0007808408699929714
143,-0.002005049755098298
144,-0.0010828521917574108
145,0.0016555119509575889
146,0.012275670887902379
147,-0.015438868198543787
148,-0.01253490662202239
149,0.007815605262294412
150,0.015351743903011084
151,0.0008170232176780701
152,0.0010813125409185886
153,-0.0017140413983725011
154,0.0002606650232337415
155,-0.003331162326503545
156,0.007699794368818402
157,0.01040577539242804
158,0.0015194241714198142
159,-0.0016140919760800898
160,-0.003491311799734831
161,0.0033233409048989415
162,-0.00470624805893749
163,0.0011190035656909458
164,-0.005607017956208438
165,0.0008666228968650103
166,0.0003579509357223287
167,-0.001243807200808078
168,0.0024073368404060602
169,0.000257986830547452
170,-0.0019409394735703245
171,-0.0030166407814249396
172,-0.007439259672537446
173,-0.004199449351290241
