Date,A,AAPL,ABBV,ABNB,ABT,ACGL,ACN,ADBE,ADI,ADM,ADP,ADSK,AEE,AEP,AES,AFL,AIG,AIZ,AJG,AKAM,ALB,ALGN,ALL,ALLE,AMAT,AMCR,AMD,AME,AMGN,AMP,AMT,AMZN,ANET,AON,AOS,APA,APD,APH,APO,APP,APTV,ARE,ARES,ATO,AVB,AVGO,AVY,AWK,AXON,AXP,AZO,BA,BAC,BALL,BAX,BBY,BDX,BEN,BF-B,BG,BIIB,BK,BKNG,BKR,BLDR,BLK,BMY,BR,BRK-B,BRO,BSX,BX,BXP,C,CAG,CAH,CARR,CAT,CB,CBOE,CBRE,CCI,CCL,CDNS,CDW,CEG,CF,CFG,CHD,CHRW,CHTR,CI,CIEN,CINF,CL,CLX,CMCSA,CME,CMG,CMI,CMS,CNC,CNP,COF,COIN,COO,COP,COR,COST,CPAY,CPB,CPRT,CPT,CRH,CRL,CRWD,CSCO,CSGP,CSX,CTAS,CTRA,CTSH,CTVA,CVNA,CVS,CVX,D,DAL,DASH,DD,DDOG,DE,DECK,DELL,DG,DHI,DHR,DLR,DLTR,DOC,DOV,DOW,DPZ,DRI,DTE,DUK,DVA,DVN,DXCM,EA,EBAY,ECL,ED,EFX,EG,EIX,EL,ELV,EME,EMR,EOG,EPAM,EQIX,EQR,EQT,ERIE,ES,ESS,ETN,ETR,EVRG,EW,EXC,EXE,EXPD,EXPE,EXR,F,FANG,FAST,FCX,FDS,FDX,FE,FFIV,FICO,FIS,FISV,FITB,FIX,FOX,FOXA,FRT,FSLR,FTNT,FTV,GD,GDDY,GE,GEHC,GEN,GEV,GILD,GIS,GL,GLW,GM,GNRC,GOOG,GOOGL,GPC,GPN,GRMN,GS,HAL,HAS,HBAN,HCA,HD,HIG,HII,HLT,HOLX,HON,HPE,HPQ,HRL,HSIC,HST,HSY,HUBB,HUM,HWM,IBM,IDXX,IEX,INCY,IR,IT,ITW,KO,LNT,MMM,MO,SCHW,STZ,T,TECH,XOM,XYZ
2022-10-06,1218400,68402200,5124800,3446500,6348100,2502600,2336800,4884000,2286500,2512200,1497700,1791600,1708600,4211100,6672500,1811800,3121600,438700,687700,1369000,1359600,580200,1546800,532600,6686700,1677740,98325900,1013000,1523800,437500,2908700,42253800,6798400,675800,767400,8897800,965400,4618200,1485000,1235600.0,1710300,810600,1052000,859300,679400,17250000,301600,1026800,470300,2526000,180100,4454700,40891900,1966000,3195900,1773000,1521821,2265000,754200,1325400,1246500,3103200,371300,6639300,2137400,566700,7545500,548800,3394000,1049400,4657500,2753000,1459700,17738400,6449700,2314200,5592100,2415000,1006300,707200,2015400,2627300,86819900,1849700,539400,1677300.0,2751300,3630600,1258400,1374400,1311100,1673100,929400,862000,3383000,792900,34686783,1875700,12355000,1288400,3128900,4022300,7558600,2302100,11103700.0,1134400,6388900,938800,2430700,1143000,2589400,5459600,818000,811600,363300,2656900,18198800,2035600,15166300,1382000,7091200,2823100,3219100,9051000,4171000,9498300,7388200,10688100,2384500,5560574,2376400,915100,1888800,2757500,1063900,2866900,2255436,3140600,1631300,3995400,788700,5430600,713100,1542100,1981400,4230800,614700,11199500,4233900,1558300,6471800,923800,1887200,968100,258200,2906100,1919600,822100,161300,3696900,5045700,466400,585100,2078600,5541500,112100,1870400,506700,2381100,3793400,1881700,2170200,7820100,2414400,984500,2769100,769100,64531900,2422400,6068600,18258700,242400,4254600,4220800,708500,304600,4435200,3548600.0,6097900,166500,899700,3697200,555300,2834700,4983300,2458002,929800,706600,7953396,,7382300,,5622300,5449200,447900,4709000,11435800,2406300,17156200,22324000,604400,3149800,930200,1367400,13545400,1575800,22501100,1118000,2641500,1771400,221300,1448700,1774500,2757751,12361200,8415900,2337700,742200,6926100,755500,451674,729400,1778700,5074600,274200,484800,1125300,1987800,427900,1478900,17192800,2586700,5176408,11154400,6276900,2812500,52923900,916800,29124700,8298400
2022-10-07,1154700,85925600,4648800,3352700,8485900,2712200,1951200,3495900,4351100,2396100,2068400,1261200,1739900,3717000,4444000,2404300,4097100,331700,840600,1108100,1031600,779500,2223300,615600,10029900,1022580,163786300,940100,2060000,679200,3165300,54678000,6787600,601500,1307400,10920100,1046900,4645600,2330300,1895900.0,2419000,822000,703400,856600,728700,28425000,311600,1051800,404000,2579600,139700,5097400,52304600,1747800,2686600,1878200,1827610,3523500,1045200,879600,1778200,3944100,443400,7364700,1731100,625900,7934600,622800,4270200,1114600,9642900,4453500,1344600,18101300,5503400,2669100,9001800,2759200,1271500,661900,1554700,2436700,82260200,2415700,750900,2017200.0,1928700,3716600,1177700,2086800,1117000,1956100,981200,884700,4316300,1058400,30783590,1950700,13975000,1028400,2659600,7626900,5637800,2958100,11427900.0,1114800,9373500,1034600,2568100,1135600,1815700,5488000,816700,590800,455800,2591800,19055400,1779400,14487800,2050000,8529900,3675600,2420500,11195900,19715100,9972500,4691600,11051700,3503000,9623574,3011000,1351700,1144200,5615000,1595700,2669100,1779194,2572400,3123800,4978400,761800,5265100,713700,1211700,2693700,3162700,646100,12020900,9426000,1999500,6731600,803200,1855600,562000,307900,2779000,1387300,708100,177800,4655300,3655700,636200,473400,2391700,6203700,79900,1714600,537400,1884600,3022200,1411800,2294200,7119500,2765200,1515300,1971400,981300,56494500,2081000,7822400,12667300,277700,7783500,4125800,591200,327700,4823900,3787200.0,3891100,187300,3538500,2588400,681500,4238000,5489900,2045969,1226900,601300,6856315,,7196100,,6723200,3755700,432000,4182000,11193900,3212200,24249900,27502800,679100,1748100,1078400,1790100,17472200,1971400,21667200,1303100,2406000,1776600,410700,1587500,1516500,3142258,12885200,10318200,1779000,576200,8135100,947300,590236,871100,2232100,4499700,593900,270700,1200000,1638400,360500,815800,11479800,2724700,5138614,10524500,8063000,2154900,53446900,971200,24507600,11232000
2022-10-10,1246000,74899000,3830800,3945200,4044600,1485900,1526800,2906300,3828700,2261700,1081300,1305100,1261100,4127900,4360100,1946300,7099000,240800,459500,1572900,1030000,692500,1237300,389800,14211900,996960,112241800,580100,1630100,486900,1992300,42339700,12425600,725100,876400,10050700,748700,3148000,1672800,1608300.0,1807600,784600,679000,1035200,650200,33454000,330500,759400,564900,2893400,138600,6829900,37669100,1953400,1937900,2026100,1398691,2782600,689700,954100,1191600,4829500,278300,6546400,1996500,512400,8879400,605100,3106500,807400,5682900,2798800,1073600,13768800,4353000,2158500,4794900,2633900,1292000,417600,896200,1854700,82505700,2242400,576500,982800.0,2184500,2618500,788200,1025700,1216900,2891200,1185900,409500,4756700,1003900,25163168,2172800,13870000,600300,2111700,5576800,4483200,1717600,7714000.0,944000,5883200,1024900,1616300,1133400,1882600,4768800,2083400,578600,301900,3502700,16628400,1434600,16063100,1202000,4226300,2919200,2133300,9569800,7429800,5904500,3888300,10400100,4774200,4891852,4515700,1366900,2320800,3266600,1333200,2202500,1853304,1781300,964000,4067300,625700,4686100,993600,1093700,3428400,2982300,444500,9829700,3158800,1080100,5192100,1139300,1458400,498600,231200,1612600,930000,784800,205600,4016800,2674300,356600,487100,2514000,4905000,33800,1352100,689600,1860700,2278600,968700,1666800,11501200,1719700,929800,1909000,523400,115548900,1731300,8272600,11617700,244400,5310500,5720200,622500,241400,4304900,2966400.0,3537900,123900,1134800,1762000,1274100,2614200,6975000,1810559,759800,920600,5764210,,4871100,,4328500,3245800,388900,3438100,22996100,1317900,16529900,18225100,560700,1376500,904600,1309600,9532600,1113300,17346400,1101500,2115400,1296000,238200,1350200,1668400,2049958,11474300,6557500,1329100,616000,9758900,594500,611816,1043800,2883100,5990000,503700,353400,991000,2065600,359600,1092700,10239100,1625000,3088550,11408600,6192300,1121800,43852600,1339600,16786100,9657400
2022-10-11,1985300,77033700,5675100,5696700,5304800,1479700,2261800,3209800,4735300,2587000,1449600,1468100,1649500,3921000,4794200,2595700,4796900,305000,893500,1506100,1412400,740400,1570200,609600,12441100,1097540,114054800,778400,6256000,452900,2463100,56432200,7869600,649000,1175300,7325300,618100,4292600,2912000,1893000.0,1884200,850400,1641300,1159900,652200,28046000,449600,830200,523500,2588700,182700,8508400,58124000,1682600,3161800,2404100,1189574,2964900,976000,1044600,1239000,4983100,304700,7512900,2312600,932700,8941400,568000,3442000,1286100,6475900,5430400,1042700,20176100,4020300,3185500,5111800,2542400,1175300,540000,1420400,2596000,73379000,4034100,1046100,1534200.0,2056900,4089200,1576500,1105600,1293200,1815600,2088600,739600,3974400,992100,37072702,1696400,21860000,727900,1938600,3586400,4861700,2486800,17705600.0,1412000,7602400,1582600,2341400,723300,1755100,3829200,731900,589400,554300,3426200,19386400,2073500,18070700,1732400,6876600,3216400,2198800,12814600,6898100,7533300,4155900,17037900,14080800,6819865,3822000,1457200,1759800,3090600,1542600,2312400,3671189,3022100,1513400,6226900,935100,5222700,974200,1236500,2613800,4892500,594600,11718900,2704400,1578900,6222400,1365100,1955900,1002600,232400,1309200,1550200,751400,285100,4205900,3017700,399400,556100,2322200,4628200,62300,1827400,555100,1566200,3196600,1072500,2318000,8315500,1612100,890400,2123700,848600,75173200,2605500,7507400,13833900,268300,6045600,5949900,688600,346700,6002700,4484000.0,3732300,153300,709200,2361200,1034900,3052100,6377600,2409434,1138300,849700,8500412,,4535500,,7154500,3173100,363000,3860600,16763800,1583100,21617700,26507100,1221600,1632300,925800,2392800,10885500,1221400,16984600,1729300,2771900,1521800,339300,1783600,2631200,3085706,18397200,7287300,1508300,636100,7922900,839400,738661,752300,2395400,4043100,417100,449000,1392900,2279500,329300,1029000,14303900,2358700,3462898,14565500,9676100,1094100,49661500,1421600,17804100,18196200
2022-10-12,1069600,70433700,4528000,5547500,4106200,1750300,1699400,3044100,2541100,4447100,1215200,1523300,2328000,2552800,4230600,2034600,3866100,313100,740800,979600,3589500,719800,2256100,730000,7770200,1961340,89264200,1202700,2639800,649300,2572500,45728700,11608800,597700,896200,7373700,893900,3425000,2141400,2042700.0,2048500,733000,1278000,779800,835400,15046000,257300,1295900,269400,2397400,162000,6393000,36137900,1854100,2391400,1661900,948912,3760300,943100,1943700,1592300,8082400,290800,6162700,1361200,797100,6683900,493400,3342400,1287000,5625600,3774800,954700,20862200,4381500,3763000,4065400,2260800,1406000,549400,1179900,2759300,97735700,2662100,871900,1878400.0,1740200,3165500,1449800,949500,1146000,2332900,1614500,876800,2819400,1011400,31779528,2459200,17820000,884500,1974100,2724600,6904200,1860000,8998900.0,1750800,6221600,1418700,2043900,526500,2225300,3386800,501000,563100,367700,3070500,17279900,2335400,13763100,1583200,6851100,2584300,2395700,7789600,4926500,4942000,6378000,11868600,5706600,5513730,3262800,1179400,1711800,2873300,1270200,2482000,2941034,2383200,2198100,3077000,1215200,4982100,800900,1023400,2153000,4243000,444700,7419800,2083400,1140800,6324300,1340400,1999200,826300,275100,1813500,1802300,706900,246400,2565100,2540600,447700,468000,1924000,3962200,49800,1964300,551100,2073400,2474000,1231500,2487700,7568400,1992800,1185600,1512400,766800,59628500,2969900,8774400,15818400,372800,2468100,4033000,477500,251200,4086800,3231700.0,3804800,81400,970600,2521500,864100,2867700,4970400,2714379,833300,623700,8598323,,3946300,,6406000,3045600,453200,3604600,10810300,1685300,17343400,21876400,653000,1639700,680100,1763800,8909200,925500,14409000,1139700,2258200,1754800,344800,1638600,2002900,2894408,14517800,7896900,1117600,1537300,10394400,943700,463518,573000,3847600,3338800,353100,473900,1030000,1730800,317200,1038400,18377400,2185000,3290196,10794500,8460000,833700,46719600,636800,12635800,16651700
2022-10-13,1553600,113224000,5066200,6172500,6250900,3025800,3435100,4737200,5040500,2066400,1919300,1669800,2599400,4047100,5199900,2639200,5168600,433300,1418600,1260200,2691200,872900,3423000,831600,17560200,2437820,131159800,1632500,3288900,715100,3518100,86868100,15800400,870000,3153000,10394200,898900,5381800,5415900,2706100.0,1965400,696800,984300,755300,748700,27980000,447300,1322300,365300,5232300,193900,7842300,67671000,1622000,4562100,2733800,1214760,4444600,821500,1136200,3279200,7088000,477700,7748100,2246500,2345300,9592400,885200,5483400,1723600,9527500,5388700,1542500,27964900,4052900,3322300,7759200,3745900,1557600,657100,2139200,2976100,81275600,4676600,867600,2746500.0,1939700,4264800,1174400,1247200,1999700,2205200,2213400,812100,4459900,884900,37521909,2228900,21860000,924600,2200700,4032200,7318700,2806700,18342000.0,1937200,7999100,1007100,3390900,517200,2660800,4678800,560200,693300,439100,3578300,26328300,3069600,18585900,2745600,6937000,5212100,3067800,11808100,6056300,10227500,6225700,27099400,8569400,9141511,5417900,1596600,2234400,3036300,2062500,3646100,3268718,3057400,1780800,4741400,1168500,8304900,2912700,996400,3531000,7258400,428800,10697100,3076600,1624700,7866600,1409900,1949000,986900,337600,1860800,1863700,1087800,282200,4100000,2803800,513800,622900,2133900,5677700,71400,2311600,550300,2423400,2556000,1689300,2564700,9324500,1557100,1223700,2328800,727800,70487400,2637200,14898000,16285500,297400,2993400,5693300,529700,191900,4031200,3826600.0,7989000,153600,1212500,4073100,880000,3090000,5114200,2296772,792300,802400,12818915,,4718600,,7690100,3396400,691400,5873900,17199800,2388700,32812200,34574500,714000,1622300,1185700,2724900,14018900,1369200,30245900,1314400,3881600,1648500,222300,1813100,2004300,3419603,18163200,11791900,1637400,970800,11370800,807700,874070,1071600,2607100,5837500,525400,524900,1456800,2283200,417000,1601900,16220700,2112700,5708149,11909400,9491900,913500,60354500,1018000,22019100,18321800
2022-10-14,1217200,88598000,5290500,5001700,6087200,1909400,1723100,3563300,4970400,2997600,2166300,1212700,1239800,4001200,4402900,2437400,5963500,436700,1488300,931000,1985700,718600,1837700,684500,10453000,1490080,96959300,1040300,2864400,890700,2466400,67737300,8473200,910600,2017600,7625000,711200,4168200,2134200,1911400.0,1610600,992500,598000,951900,711900,22816000,882000,1190300,402100,3871900,165100,6093900,58108500,1356000,3896000,1753700,1135514,2837800,898100,1297500,1478900,6435700,389000,7281700,3486500,1276400,9992400,697800,4292300,1645700,7765300,2900300,1055500,28885100,3066500,2200700,8519800,2830200,2065600,710600,1577100,2449100,63672500,2373500,687900,1693300.0,3243500,4021700,1465600,1287300,1743900,2500600,1080700,839100,4964800,794900,29430528,1299200,18450000,740700,2227200,3406900,5263200,2866300,13711600.0,1572400,7646000,731100,2301600,483100,2130200,4112000,608700,725200,399900,3998300,19571000,1809700,15481900,1711200,6411000,3275700,4043200,10373900,5475500,7327900,4577700,22499400,4771300,5844745,4197100,1231700,2029800,2288100,1474100,4712900,2270326,2646500,1769100,4480800,1099400,5888400,1361200,932700,2768600,4711100,411500,9071800,2119800,1972600,5716900,1237000,3156300,880100,286700,2787000,1400400,872400,194700,3237200,3230200,352300,494900,1816100,5622700,54100,2204600,505800,1863500,2315400,862100,2354600,6830000,1806700,1357800,1970400,658300,55127700,3216900,11676400,13972100,276900,2269800,6503700,521300,154300,4726000,2966800.0,5503700,179700,1652700,2151700,577900,2053500,4751700,1448288,1039600,611000,9106174,,6228600,,7892200,2928700,638900,4636800,11994100,1687600,22624800,25410700,907200,1960400,889300,2397600,11190100,2163600,27258200,1118800,2783100,1769300,321400,1410100,1686400,3151488,16266300,10700700,1496100,790200,8822700,854500,524859,992100,1819000,3762400,480600,571200,1202900,2282300,403100,987000,15997900,2273100,4137323,11226200,13326300,704700,47185600,815600,15222000,16278100
2022-10-17,1197900,85250900,4016200,5423900,7315800,1736000,2534800,4600600,5039800,2484200,2123100,1281400,1191300,3606400,3994700,2361500,4148100,340900,953500,1269500,1327600,725400,1193900,713400,10772300,1450480,76977600,1029400,2577100,717300,3040900,62782000,8793600,870600,2260800,7270300,728500,4495600,2264100,2229400.0,1277500,965900,788200,1091100,1001500,24120000,346100,1026300,302900,3139300,141300,9073500,88896800,1979600,4559100,2786500,1260043,2590200,1053000,1061000,1658300,7340300,318800,8602900,2725400,890900,6618100,454600,4452100,1787400,6901200,3717200,1469000,20835400,3120800,3685500,8497400,2940000,1610100,760200,1537500,2436000,52393700,2288000,777100,1678900.0,2324700,5146300,1509000,1265600,1498900,2596100,1439300,762700,4118000,1365900,31059303,1492500,14470000,647900,1854500,2546600,4428300,1878500,11263300.0,1434000,6667000,961700,2097500,399000,2437800,4784000,721500,650300,313500,3247800,27845200,1470500,17761700,1692000,5751100,3551100,2693300,9272300,5493900,5890400,4322000,15306200,4325000,6481919,4401000,1077100,3093000,3412400,1500100,2349800,2459942,2991300,3604100,3401200,1167500,6195300,982800,798000,1947400,3704400,367600,7969400,2193000,1700300,5976000,1512900,1668000,904100,221600,1954700,1280000,868700,321700,2649400,3558100,338900,549500,1984700,5733000,64900,2453200,321700,1510100,2074800,910800,3224800,7906000,1658800,1450100,2746300,584100,59561700,1925100,10940600,13874400,185500,3187000,3052700,386000,163400,4427800,4732700.0,5595300,216100,4539100,12668500,1040300,4176900,5594600,3816717,1082900,628700,8251944,,4931000,,5799600,3490400,499100,5790200,10960500,1616400,23311600,28419200,845600,1636200,1008800,3118600,7869200,2210000,17564000,962900,3426700,1828900,234300,1648600,1363800,3647612,19641200,8841600,1771200,860700,6023400,754800,488648,734700,3282600,5458600,546200,520200,1417500,2226000,521000,1263300,13721400,1828300,3592186,7872500,20113300,581500,44240700,1030000,14283200,15378400
2022-10-18,1038100,99136600,3540400,5580000,8943900,1556700,2114500,5472000,3280300,1912500,1619100,1494000,1224300,2612300,3353800,2283700,5350800,329500,813700,1424100,973900,765300,1615000,897000,10231000,1271320,103064500,1857600,2060000,555700,3253400,65607400,9424000,703400,1733200,7240600,823000,4816000,1624400,2503100.0,2419000,763300,1436500,776500,596500,20341000,386300,920200,471100,3963300,156500,6146300,81937900,1184900,4374200,2320200,1882942,2283900,1150800,1207000,1348800,9040600,367400,11519200,1965700,800600,7938100,464800,4292700,1243600,7189800,4703800,1059100,21302100,2890000,3354600,4229500,2674000,1148400,779600,1253700,3189400,116496300,1683400,815800,1598900.0,3414900,5265800,1105900,979200,1017500,2221800,1327500,756300,10417100,931600,31195239,1236600,15130000,590100,1697400,2529800,6471100,2309400,13874700.0,1185600,6826200,836500,1864000,737600,2920400,4072000,1141100,572900,316200,3710800,18223300,1689100,16408700,1717600,5931500,4462900,2934600,13359400,5659000,5631200,2904600,13590500,4277500,7802394,3665800,1214800,2767800,2468800,1379600,2963600,2327402,2922800,1723900,4344300,1169900,8009100,1164700,1200400,2536400,3009900,522000,7943300,3681500,1513600,5326500,1307100,1647600,972000,266200,1762100,2087000,1291800,386800,2610700,4018000,372000,449800,1483800,6233900,66400,1955800,318100,2003500,2058000,1029300,2977200,7505400,1912800,981600,1853200,547100,53603400,1645600,9662800,14492100,226000,3136200,2742100,346100,159600,5588700,3227900.0,5393000,154600,2080700,6942800,806300,2700400,5122000,2093077,1204500,819500,9806637,,3289500,,6802300,2655100,582500,5379200,11144700,1560800,21610500,24060700,854500,2032700,901100,6428600,8804700,3023900,22121800,1459100,3166500,1652000,437500,1649700,1406800,2099295,14721800,7501500,994300,537100,7825300,1013900,537280,724100,2343700,5120300,440000,745800,1497300,3752500,515100,1174500,11823100,1698700,3066544,7176200,11732200,970400,49420200,986000,14065400,15248900
2022-10-19,1034000,61758300,3333300,3408900,18525200,1543500,2412600,5529100,2465400,1786700,1631000,767200,907800,1806500,3103100,1765300,3600700,365300,1118400,951100,1151200,530000,2068600,767700,10579200,1004040,75704800,1272200,1883000,454300,1824700,47198100,9288800,844200,1272300,7881900,710200,4063000,1767900,1973300.0,1446800,755300,1999500,831500,572300,12702000,216400,950800,611400,2803900,133100,6321900,43139900,998800,6516600,3884200,1667465,2720600,1090900,1241100,1163600,8774400,313600,17385500,2778100,815400,6481800,375600,3213700,1598400,7064600,4109900,1109800,15142800,2538000,2035600,4584800,2088700,1415800,535600,1346500,2576800,70897600,1164600,358400,1325800.0,2103100,6101700,1512500,2226600,1442000,1548200,1639800,626700,5301800,950100,31036789,1139500,12575000,729600,1516600,2581900,6063700,2931100,8601100.0,1263200,5500400,569800,1207600,636600,2553500,3094000,521300,492700,369900,2032800,19071700,1449400,15446400,1157600,6075300,2356600,2174000,23577200,4004600,9766800,2415900,14208800,4134200,5659281,2828300,817800,2038200,2225700,1134700,3921800,4634839,3127000,1408400,3680700,1033000,8371500,720800,1227600,1606500,2611700,529000,8977700,2480900,1347700,5097700,1305200,1455900,1394800,246200,1392900,1890200,1416300,336200,3058100,4718800,264600,386200,1472500,7130000,39600,1626500,274700,1845100,1665200,642700,2000800,6263300,1274800,1133200,1593100,635800,54130000,2078800,5527000,12703600,169600,3433700,3150100,351700,246400,3318400,2452900.0,10514800,123800,1403500,4065300,627600,2223900,4373800,1707186,1158900,609300,8408280,,3307100,,7058600,2282900,742100,3717800,10311300,12839200,21573700,23811100,868300,1431800,847000,2363800,12343400,2590600,19879800,1007600,4323000,1926500,416200,1409300,1157700,1790968,12362700,6055000,1304500,748400,6076100,913300,973106,695000,4675400,5906600,317600,377000,1305200,3048000,416900,929300,10182300,1079600,3084006,5930300,5917800,1008700,47349100,1072800,20921700,13618100
2022-10-20,1897200,64522000,3880100,3962200,12651200,1970100,1970100,3621600,3341100,3182200,1314300,743100,1465800,3165500,2936400,2243700,4473700,392600,1044000,1374400,1067800,1076900,9420300,795400,13287900,1289180,79552600,1395700,2058000,530300,2515600,48795100,6243200,917200,955000,7131500,716200,5758400,1838500,1854900.0,1466800,718800,1936800,685200,1038600,23402000,353000,1324800,346000,4319300,195600,4331700,39549100,1422700,3831100,1900700,1117961,2200500,933000,1186200,1030900,6931600,345100,11755900,2208900,820800,9193100,772400,3916600,1120400,4851800,7805500,1447800,15421600,3376800,2688500,4300200,2953900,1670200,422500,1815900,4425600,59658500,1599900,648400,2076500.0,3011000,5979200,1451100,1196300,1282300,1509500,1489000,825100,3436100,1072400,24537906,1777300,11915000,653900,2680500,2674100,6638100,3534900,8938700.0,1201600,6456100,877600,1709500,739100,2247600,3834800,766900,944300,569100,2092800,16830500,1694200,20922900,1598800,5742500,3122200,2886400,14042300,4798500,8871500,3300000,14786500,4208500,5228125,5595400,788300,2836800,2122100,1752700,2814400,8528018,2081700,1822300,3920300,1605400,9259900,664400,997600,2015200,4057700,560600,7704000,2688300,1360900,5105200,1323900,2384500,2710500,339800,1336200,2872200,1946500,171800,2547500,3902400,232700,439700,1281900,6118500,53500,1661400,498800,2079300,2219800,688100,3838700,10085500,1126600,1099700,3233600,440500,55568100,1743200,6440600,26954400,174300,3652100,2675700,892200,190000,3085600,3610500.0,9696700,210300,1168700,2223700,325100,2164000,4433500,2033495,1184100,581700,9609852,,2787800,,6384200,3002800,489200,5433700,13579800,6350500,25125100,25323200,1358900,1653000,1203000,2382300,11097400,1727000,23522200,2469300,3959500,1755900,460700,1867100,1296600,2851438,17132400,5830500,2072800,549300,6914600,626100,917584,923200,5165300,13623100,369700,580000,1096700,1874800,368600,1197700,16905100,2541500,3758908,9710300,7761700,1099300,117495700,1006800,17649000,12554800
2022-10-21,1067000,86548600,5419400,4146100,9859000,1935500,3206600,3659300,3612400,2222900,2112100,1053600,1199600,2278600,4534200,2486000,4078600,407500,1286300,1052900,1318400,1183000,3193700,681300,11569500,1788800,95366400,1151000,3531200,549600,2078000,55660500,8714400,1633400,990200,8542500,1157200,5250800,1999400,2212100.0,2488200,813000,950600,740000,663700,26980000,476200,1292500,354400,11755400,197900,5451300,54870300,1836200,4516000,2328700,2199034,2554700,768500,853300,1575200,8365700,306900,11806700,2409100,830800,8217400,509700,4995400,2300400,8690800,5198100,1454900,18783600,2316100,3086600,4411100,3483800,1529000,482300,1654600,5311200,57281000,2034400,555800,1749200.0,2654100,6978300,1306200,922500,1886900,1881200,1954400,3051400,5947100,798700,32882806,3395300,18230000,1873100,2418200,4537800,4455700,3593600,9156400.0,957600,5886200,1538300,2508400,1043300,1706900,5142800,698800,753800,529500,2693600,25035000,2316200,29374700,1545600,7452800,7847000,2566200,12982700,4919100,7971300,3607000,11173100,4633200,6138476,4779900,1387500,3130200,2964700,2028500,4605800,7548350,1763700,2033300,5016300,1849800,7483600,754000,1610100,2774800,2789000,771200,11214800,4012500,1605700,4449300,2344400,2417700,2610500,399000,1365500,2584300,1581800,325900,3168200,4237200,502300,528800,1266600,14156500,54700,1531100,515300,2346200,1807200,861300,4236900,11674800,1825800,3899100,3662700,699200,55132700,2486500,9961600,27259400,163000,6074900,5001800,545600,142200,4712000,5468100.0,8258000,168400,929000,2952300,424700,3619300,5512200,1597045,1365900,588900,10352529,,3633700,,7814600,2907100,581100,14456900,14094700,3661400,28988700,32458700,998600,1619900,3346100,3545700,17571100,1627000,41221500,6288100,3429100,1856800,436900,2223100,2096300,3140348,20455900,7894300,1610400,1129100,8523300,705200,943778,1479100,3365900,7201300,440800,556500,4874800,3317600,468500,3526100,15034100,2324200,3997630,7471100,6621300,723700,81050700,1274400,22814100,13987700
2022-10-24,1045300,75981900,5139700,4452800,8118000,1063300,2201900,4817400,3334500,2253100,1731700,1050800,1959300,2141900,2757800,2352900,3322800,304500,770000,953400,991600,852000,2682000,486900,12005000,1463880,76305400,893600,2883200,445000,1856400,49531500,5509600,783300,840900,7901100,1758000,6302400,2265400,1941000.0,1514500,1268800,1292100,715900,837900,25287000,586800,1014700,810100,4299600,209400,5177800,33765600,1685700,3902100,2813600,2081374,2077600,903600,1123200,1849400,6918400,313800,8048100,1234300,948900,7382500,624800,3860000,1482400,12287200,4166700,1608200,14392300,3116500,2286300,3761500,2919500,2022900,480300,1138200,3355800,51101500,1832200,484000,1325000.0,2181900,6397300,1272600,982700,2126000,1875200,1517500,1046000,3500900,931300,30569977,2400700,19365000,881400,4240500,4038200,4027200,2836900,8111700.0,1003200,5734900,1177100,2366200,614800,1650200,3789200,750600,662000,439700,2054900,18785300,2697200,21072000,1331200,5580500,4285900,3123400,11333600,7183500,7007700,5847200,10388300,4199700,5012547,2961400,1059700,2698200,2346600,1548400,3073900,4112011,2599200,3177400,4874800,1260600,5645700,614200,1271200,2037100,2318600,552700,8530900,1892800,1344500,5899100,1222300,1595900,1953700,219800,1618100,3041000,1502600,288400,2274600,4000900,265500,355200,1560500,8140300,84800,1845300,376300,1358500,2121000,2293000,3569600,5191800,1645000,1531900,1710600,796100,64717700,2026600,7284600,19179500,184100,2857600,2678300,422300,186300,3264300,3421100.0,4774700,253400,1196300,3868000,459300,1726300,5905900,2247805,955200,493100,10913990,,2815700,,7133100,3219100,654800,7771900,18575100,2622300,24680800,27176400,1331600,1397300,1331300,2232600,17108500,1343600,33353000,3205800,2937100,2349500,777600,2639600,1664500,3470531,17275100,5640300,1473900,1057800,5309600,653200,779172,713900,4108900,5610900,322500,277700,1919700,1384900,509200,1617000,17416700,1911200,4059344,8428700,5456300,941900,69196500,1094000,17024200,12593800
